Id,Label
6001,5
6002,9
6003,6
6004,6
6005,7
6006,5
6007,5
6008,6
6009,3
6010,3
6011,7
6012,6
6013,8
6014,9
6015,6
6016,6
6017,8
6018,0
6019,8
6020,6
6021,6
6022,7
6023,0
6024,7
6025,8
6026,3
6027,5
6028,3
6029,8
6030,9
6031,3
6032,2
6033,9
6034,7
6035,7
6036,9
6037,7
6038,6
6039,4
6040,7
6041,2
6042,7
6043,0
6044,5
6045,2
6046,9
6047,8
6048,6
6049,9
6050,1
6051,0
6052,3
6053,0
6054,5
6055,1
6056,7
6057,8
6058,9
6059,3
6060,4
6061,4
6062,5
6063,6
6064,0
6065,3
6066,8
6067,9
6068,3
6069,5
6070,8
6071,0
6072,8
6073,7
6074,9
6075,2
6076,9
6077,1
6078,4
6079,4
6080,3
6081,9
6082,6
6083,1
6084,9
6085,3
6086,1
6087,1
6088,5
6089,8
6090,3
6091,4
6092,8
6093,7
6094,8
6095,7
6096,6
6097,7
6098,9
6099,6
6100,6
6101,5
6102,6
6103,7
6104,2
6105,9
6106,2
6107,7
6108,1
6109,9
6110,3
6111,8
6112,6
6113,6
6114,6
6115,0
6116,5
6117,8
6118,7
6119,9
6120,3
6121,5
6122,6
6123,8
6124,5
6125,3
6126,6
6127,7
6128,5
6129,5
6130,8
6131,8
6132,3
6133,6
6134,5
6135,5
6136,5
6137,9
6138,4
6139,4
6140,5
6141,7
6142,2
6143,6
6144,0
6145,5
6146,7
6147,9
6148,8
6149,7
6150,5
6151,2
6152,8
6153,5
6154,7
6155,3
6156,1
6157,9
6158,6
6159,2
6160,8
6161,2
6162,4
6163,8
6164,0
6165,3
6166,6
6167,3
6168,3
6169,5
6170,3
6171,5
6172,1
6173,8
6174,2
6175,2
6176,0
6177,6
6178,5
6179,6
6180,8
6181,5
6182,3
6183,5
6184,9
6185,8
6186,2
6187,2
6188,8
6189,4
6190,8
6191,9
6192,4
6193,6
6194,6
6195,6
6196,0
6197,7
6198,7
6199,6
6200,8
6201,9
6202,2
6203,1
6204,3
6205,4
6206,4
6207,9
6208,8
6209,9
6210,6
6211,5
6212,7
6213,8
6214,9
6215,8
6216,6
6217,7
6218,4
6219,4
6220,9
6221,9
6222,0
6223,3
6224,4
6225,9
6226,2
6227,8
6228,4
6229,7
6230,5
6231,0
6232,2
6233,8
6234,7
6235,3
6236,9
6237,0
6238,3
6239,0
6240,3
6241,4
6242,5
6243,0
6244,0
6245,9
6246,0
6247,5
6248,2
6249,2
6250,1
6251,4
6252,4
6253,1
6254,6
6255,2
6256,4
6257,8
6258,3
6259,5
6260,3
6261,3
6262,5
6263,1
6264,2
6265,9
6266,2
6267,6
6268,1
6269,0
6270,8
6271,4
6272,9
6273,6
6274,9
6275,2
6276,7
6277,9
6278,5
6279,3
6280,1
6281,3
6282,6
6283,2
6284,1
6285,0
6286,3
6287,8
6288,9
6289,1
6290,5
6291,8
6292,6
6293,4
6294,2
6295,9
6296,9
6297,9
6298,4
6299,3
6300,1
6301,6
6302,1
6303,6
6304,9
6305,3
6306,3
6307,9
6308,8
6309,1
6310,9
6311,6
6312,9
6313,0
6314,2
6315,7
6316,0
6317,5
6318,3
6319,1
6320,3
6321,1
6322,7
6323,8
6324,5
6325,1
6326,9
6327,1
6328,7
6329,5
6330,5
6331,9
6332,2
6333,1
6334,4
6335,7
6336,4
6337,0
6338,5
6339,0
6340,5
6341,0
6342,4
6343,3
6344,1
6345,9
6346,2
6347,8
6348,7
6349,9
6350,5
6351,2
6352,5
6353,3
6354,2
6355,5
6356,6
6357,6
6358,9
6359,6
6360,1
6361,2
6362,5
6363,9
6364,5
6365,5
6366,4
6367,5
6368,3
6369,5
6370,1
6371,3
6372,6
6373,0
6374,1
6375,6
6376,3
6377,3
6378,5
6379,5
6380,1
6381,6
6382,1
6383,8
6384,6
6385,2
6386,7
6387,5
6388,5
6389,4
6390,6
6391,8
6392,5
6393,4
6394,9
6395,5
6396,7
6397,9
6398,7
6399,2
6400,5
6401,3
6402,7
6403,8
6404,2
6405,4
6406,9
6407,3
6408,0
6409,6
6410,9
6411,2
6412,3
6413,5
6414,8
6415,4
6416,2
6417,5
6418,8
6419,2
6420,5
6421,8
6422,3
6423,1
6424,0
6425,4
6426,7
6427,2
6428,2
6429,0
6430,8
6431,9
6432,7
6433,0
6434,8
6435,4
6436,4
6437,5
6438,6
6439,7
6440,8
6441,8
6442,0
6443,9
6444,4
6445,9
6446,5
6447,9
6448,8
6449,6
6450,4
6451,1
6452,5
6453,5
6454,7
6455,1
6456,0
6457,4
6458,8
6459,2
6460,9
6461,1
6462,5
6463,6
6464,5
6465,3
6466,8
6467,3
6468,5
6469,3
6470,2
6471,5
6472,4
6473,2
6474,1
6475,8
6476,3
6477,2
6478,5
6479,6
6480,3
6481,4
6482,6
6483,3
6484,6
6485,3
6486,1
6487,6
6488,5
6489,1
6490,0
6491,4
6492,8
6493,4
6494,0
6495,8
6496,3
6497,5
6498,1
6499,6
6500,9
6501,8
6502,8
6503,6
6504,4
6505,5
6506,3
6507,6
6508,5
6509,5
6510,0
6511,4
6512,1
6513,4
6514,1
6515,9
6516,8
6517,5
6518,4
6519,6
6520,7
6521,8
6522,8
6523,5
6524,3
6525,1
6526,0
6527,5
6528,7
6529,7
6530,3
6531,6
6532,6
6533,4
6534,1
6535,4
6536,0
6537,2
6538,8
6539,0
6540,5
6541,3
6542,9
6543,0
6544,3
6545,0
6546,1
6547,8
6548,5
6549,5
6550,9
6551,1
6552,3
6553,4
6554,9
6555,3
6556,6
6557,3
6558,6
6559,9
6560,4
6561,5
6562,4
6563,9
6564,1
6565,8
6566,7
6567,1
6568,5
6569,4
6570,6
6571,1
6572,9
6573,4
6574,8
6575,8
6576,7
6577,8
6578,3
6579,9
6580,7
6581,5
6582,4
6583,9
6584,8
6585,6
6586,1
6587,5
6588,3
6589,9
6590,9
6591,4
6592,1
6593,5
6594,6
6595,5
6596,2
6597,5
6598,5
6599,9
6600,3
6601,4
6602,0
6603,3
6604,3
6605,6
6606,3
6607,7
6608,9
6609,7
6610,8
6611,4
6612,9
6613,1
6614,6
6615,9
6616,8
6617,0
6618,7
6619,9
6620,2
6621,3
6622,7
6623,5
6624,8
6625,5
6626,6
6627,0
6628,0
6629,5
6630,3
6631,2
6632,5
6633,4
6634,3
6635,2
6636,5
6637,5
6638,5
6639,1
6640,5
6641,9
6642,3
6643,7
6644,9
6645,2
6646,0
6647,6
6648,6
6649,3
6650,8
6651,0
6652,9
6653,8
6654,9
6655,3
6656,1
6657,6
6658,6
6659,9
6660,5
6661,6
6662,9
6663,3
6664,5
6665,0
6666,7
6667,9
6668,2
6669,0
6670,3
6671,4
6672,5
6673,2
6674,7
6675,9
6676,2
6677,5
6678,5
6679,2
6680,4
6681,8
6682,4
6683,5
6684,1
6685,9
6686,2
6687,4
6688,9
6689,5
6690,2
6691,7
6692,9
6693,8
6694,6
6695,6
6696,2
6697,1
6698,6
6699,4
6700,5
6701,1
6702,3
6703,1
6704,7
6705,6
6706,5
6707,5
6708,5
6709,2
6710,9
6711,5
6712,7
6713,3
6714,0
6715,6
6716,5
6717,4
6718,0
6719,0
6720,2
6721,2
6722,4
6723,9
6724,5
6725,4
6726,1
6727,7
6728,0
6729,5
6730,4
6731,7
6732,3
6733,5
6734,8
6735,1
6736,0
6737,2
6738,3
6739,3
6740,0
6741,6
6742,6
6743,4
6744,1
6745,3
6746,7
6747,2
6748,5
6749,5
6750,6
6751,3
